,model,qa-cos,mini-l6,snowflake
0,gemma,0.5098535133285009,0.4094887707630943,0.4810331961560679
1,gemma,0.4670215313073586,0.2628630331901977,0.4413323659572005
2,gemma,0.5212864852159809,0.3931555310429454,0.3988740455276366
3,gemma,0.361290463215689,0.4844351468721275,0.4531153170550321
4,gemma,0.7117515968758467,0.3556181412702293,0.58671583204337
5,gemma,0.5604480085349504,0.65808923230023,0.5448491158470682
6,gemma,0.4601392891546797,0.344193005328969,0.4156673867839129
7,gemma,0.4003816717459453,0.2866190457334556,0.4119075759305094
8,gemma,0.6999922839516158,,0.4675567326052103
9,gemma,0.3834425194694248,0.2815532350601718,0.1837785124118113
10,gemma,0.4801685744112939,0.4504453154425553,0.4130042117251097
11,gemma,0.3767540316183628,0.4067896279055967,0.3762763394425918
12,gemma,0.3753635108908696,0.2733153259646969,0.3325659523337766
13,gemma,0.5525137992607495,0.6073905173182546,0.4432201151312661
14,gemma,0.3786153925928053,0.4256266290226567,0.6022016595243985
15,gemma,0.2715417603480979,0.5874079891418954,0.3724785405083608
16,gemma,0.2644923973726957,0.1873964804942245,0.2982688541677455
17,gemma,0.4478581728716334,0.455812540351613,0.3279781166135325
18,gemma,0.3264104432763436,0.2949370676406084,0.3063607355015007
19,gemma,0.3971139031339419,0.361106523959853,0.4597727996311364
20,gemma,0.4007991251392397,0.4926146521803764,0.4068120525106963
21,gemma,0.47956380466066,0.306260064398139,0.4287437157269543
22,gemma,0.2631004065822094,0.2779068343047668,0.5656172621417621
23,gemma,0.3083245638202686,0.3083245638202686,0.3538176782355863
24,gemma,0.4551844260413167,0.5189032218249143,0.590855601585105
25,gemma,0.5636007532197995,0.4234168839391407,0.3996088409799284
26,gemma,0.4260653760620251,0.3901792390686757,0.3379580499215521
27,gemma,0.4406666058370271,0.3562019260992835,0.3374438435918404
28,gemma,0.5181627740506017,0.5222155619341441,0.5965543803056157
29,gemma,0.681322268664826,0.424316143877713,0.610171894930616
30,gemma,0.4823416896026543,0.5770278082170817,0.4554392146727127
31,gemma,0.6844755709071593,0.3930938693840765,0.5874371559644945
32,gemma,0.2928865639360015,0.2998177089020677,0.4983959558277759
33,gemma,0.3540519693554741,0.3597531135363681,0.3838513692853547
34,gemma,,,
35,gemma,0.3300147723452171,0.5456966869787195,0.3280973796542805
36,gemma,0.2243458951955256,0.3053483307268058,0.337198485056854
37,gemma,0.543407176668026,0.3736782708551177,0.497302727587374
38,gemma,0.8577882230848353,0.8577882230848353,0.7060663581798337
39,gemma,0.5439341831537975,0.3759186487368832,0.5397790676550627
40,gemma,0.1288621820800566,0.1242739181023332,0.1346355746468117
41,gemma,0.9332581430837084,0.9623816664927172,0.9351869681982709
42,gemma,0.3796863158845427,0.5425944912080389,0.4904318510270963
43,gemma,,0.3578618424410089,0.4493891347411938
